lon,lat,move_speed,power,level,time
132.5,22.2,12,8,热带风暴,2021/7/18 2:00:00
132.5,22.4,10,8,热带风暴,2021/7/18 5:00:00
132.4,22.5,11,8,热带风暴,2021/7/18 8:00:00
132.3,22.7,10,8,热带风暴,2021/7/18 14:00:00
132.3,23.0,8,8,热带风暴,2021/7/18 17:00:00
132.2,23.3,10,8,热带风暴,2021/7/18 20:00:00
131.9,23.5,7,9,热带风暴,2021/7/19 2:00:00
131.5,23.8,6,9,热带风暴,2021/7/19 5:00:00
131.3,23.9,5,10,强热带风暴,2021/7/19 8:00:00
131.1,24.0,5,10,强热带风暴,2021/7/19 11:00:00
131.1,24.0,7,10,强热带风暴,2021/7/19 14:00:00
131.1,24.0,7,10,强热带风暴,2021/7/19 17:00:00
131.1,24.0,7,11,强热带风暴,2021/7/19 20:00:00
131.1,24.0,9,11,强热带风暴,2021/7/19 23:00:00
131.1,24.0,12,11,强热带风暴,2021/7/20 2:00:00
130.8,24.2,12,11,强热带风暴,2021/7/20 5:00:00
130.8,24.2,17,11,强热带风暴,2021/7/20 8:00:00
130.5,24.6,16,11,强热带风暴,2021/7/20 11:00:00
129.8,24.7,15,12,台风,2021/7/20 14:00:00
129.4,24.7,13,12,台风,2021/7/20 17:00:00
129.0,24.4,10,12,台风,2021/7/20 20:00:00
128.6,24.3,10,12,台风,2021/7/20 23:00:00
128.2,24.1,10,12,台风,2021/7/21 2:00:00
128.0,24.1,10,12,台风,2021/7/21 5:00:00
127.9,24.1,11,13,台风,2021/7/21 8:00:00
127.8,24.2,11,14,强台风,2021/7/21 11:00:00
127.2,24.3,11,14,强台风,2021/7/21 14:00:00
126.9,24.2,10,14,强台风,2021/7/21 17:00:00
126.8,24.1,10,14,强台风,2021/7/21 18:00:00
126.8,24.1,10,14,强台风,2021/7/21 19:00:00
126.6,24.1,6,14,强台风,2021/7/21 20:00:00
126.5,24.0,6,14,强台风,2021/7/21 21:00:00
126.4,23.9,6,14,强台风,2021/7/21 22:00:00
126.3,23.8,6,14,强台风,2021/7/21 23:00:00
126.3,23.8,6,14,强台风,2021/7/22 0:00:00
126.2,23.7,6,14,强台风,2021/7/22 1:00:00
126.2,23.7,10,14,强台风,2021/7/22 2:00:00
126.1,23.6,6,14,强台风,2021/7/22 3:00:00
126.0,23.6,6,14,强台风,2021/7/22 4:00:00
126.0,23.6,5,14,强台风,2021/7/22 5:00:00
125.9,23.5,5,14,强台风,2021/7/22 6:00:00
125.8,23.5,5,14,强台风,2021/7/22 7:00:00
125.8,23.5,5,14,强台风,2021/7/22 8:00:00
125.8,23.5,5,14,强台风,2021/7/22 9:00:00
125.8,23.5,5,14,强台风,2021/7/22 10:00:00
125.8,23.5,5,14,强台风,2021/7/22 11:00:00
125.8,23.5,5,14,强台风,2021/7/22 12:00:00
125.8,23.5,5,14,强台风,2021/7/22 13:00:00
125.7,23.5,5,14,强台风,2021/7/22 14:00:00
125.7,23.5,5,14,强台风,2021/7/22 15:00:00
125.6,23.5,6,14,强台风,2021/7/22 16:00:00
125.6,23.5,5,14,强台风,2021/7/22 17:00:00
125.6,23.5,5,14,强台风,2021/7/22 18:00:00
125.6,23.5,5,14,强台风,2021/7/22 19:00:00
125.6,23.5,7,14,强台风,2021/7/22 20:00:00
125.6,23.5,7,14,强台风,2021/7/22 21:00:00
125.6,23.5,7,14,强台风,2021/7/22 22:00:00
125.6,23.5,9,14,强台风,2021/7/22 23:00:00
125.6,23.5,9,14,强台风,2021/7/23 0:00:00
125.6,23.5,9,14,强台风,2021/7/23 1:00:00
125.5,23.6,10,14,强台风,2021/7/23 2:00:00
125.5,23.6,11,14,强台风,2021/7/23 3:00:00
125.5,23.6,11,14,强台风,2021/7/23 4:00:00
125.5,23.7,11,14,强台风,2021/7/23 5:00:00
125.5,23.9,11,14,强台风,2021/7/23 6:00:00
125.5,24.0,10,14,强台风,2021/7/23 7:00:00
